"","LENGTH","WEIGHT","ABUNDANCE","YEAR","SEASON","SURVEY","SURVEY_INITIAL","Age"
"132",6.5,0.9,24,2003,"Summer","TrawlData","T",0
"133",7,0.9,52,2003,"Summer","TrawlData","T",0
"134",7.5,0.9,6,2003,"Summer","TrawlData","T",0
"135",7,1,46,2003,"Summer","TrawlData","T",0
"136",7.5,1,17,2003,"Summer","TrawlData","T",0
"137",7,1.1,7,2003,"Summer","TrawlData","T",0
"138",7.5,1.1,48,2003,"Summer","TrawlData","T",0
"139",8,1.1,2,2003,"Summer","TrawlData","T",0
"140",7.5,1.2,13,2003,"Summer","TrawlData","T",0
"141",8,1.2,2,2003,"Summer","TrawlData","T",0
"142",7.5,1.3,8,2003,"Summer","TrawlData","T",0
"143",8,1.3,10,2003,"Summer","TrawlData","T",0
"144",8.5,1.3,3,2003,"Summer","TrawlData","T",0
"145",7.5,1.4,6,2003,"Summer","TrawlData","T",0
"146",8,1.4,14,2003,"Summer","TrawlData","T",0
"147",8,1.5,7,2003,"Summer","TrawlData","T",0
"148",8.5,1.5,3,2003,"Summer","TrawlData","T",0
"149",8,1.6,9,2003,"Summer","TrawlData","T",0
"150",8.5,1.6,3,2003,"Summer","TrawlData","T",0
"151",8.5,1.7,10,2003,"Summer","TrawlData","T",0
"152",9,1.7,2,2003,"Summer","TrawlData","T",0
"153",8,1.8,2,2003,"Summer","TrawlData","T",0
"154",8.5,1.8,5,2003,"Summer","TrawlData","T",0
"155",7.5,1.9,2,2003,"Summer","TrawlData","T",0
"156",8.5,1.9,8,2003,"Summer","TrawlData","T",0
"157",9,1.9,2,2003,"Summer","TrawlData","T",0
"158",9,2,3,2003,"Summer","TrawlData","T",0
"159",9,2.1,3,2003,"Summer","TrawlData","T",0
"160",9,2.3,3,2003,"Summer","TrawlData","T",0
"161",9,2.4,3,2003,"Summer","TrawlData","T",0
"162",9.5,2.4,5,2003,"Summer","TrawlData","T",0
"163",2.5,0.05,1,2005,"Summer","TrawlData","T",0
"164",3,0.08,14,2005,"Summer","TrawlData","T",0
"165",3,0.09,13,2005,"Summer","TrawlData","T",0
"166",3.5,0.1,15,2005,"Summer","TrawlData","T",0
"167",3.5,0.11,15,2005,"Summer","TrawlData","T",0
"168",3.5,0.12,59,2005,"Summer","TrawlData","T",0
"169",4,0.12,15,2005,"Summer","TrawlData","T",0
"170",3.5,0.13,44,2005,"Summer","TrawlData","T",0
"171",4,0.13,59,2005,"Summer","TrawlData","T",0
"172",4.5,0.14,14,2005,"Summer","TrawlData","T",0
"173",4.5,0.15,58,2005,"Summer","TrawlData","T",0
"174",4,0.17,74,2005,"Summer","TrawlData","T",0
"175",4,0.18,87,2005,"Summer","TrawlData","T",0
"176",4,0.2,15,2005,"Summer","TrawlData","T",0
"177",5.5,0.2,1,2005,"Summer","TrawlData","T",0
"178",4.5,0.21,14,2005,"Summer","TrawlData","T",0
"179",5,0.22,43,2005,"Summer","TrawlData","T",0
"180",4.5,0.23,29,2005,"Summer","TrawlData","T",0
"181",5,0.23,29,2005,"Summer","TrawlData","T",0
"182",4.5,0.25,28,2005,"Summer","TrawlData","T",0
"183",4.5,0.26,29,2005,"Summer","TrawlData","T",0
"184",4.5,0.27,14,2005,"Summer","TrawlData","T",0
"185",5.5,0.3,17,2005,"Summer","TrawlData","T",0
"186",5,0.34,14,2005,"Summer","TrawlData","T",0
"187",5,0.35,14,2005,"Summer","TrawlData","T",0
"188",5,0.37,14,2005,"Summer","TrawlData","T",0
"189",5.5,0.4,14,2005,"Summer","TrawlData","T",0
"190",6,0.4,2,2005,"Summer","TrawlData","T",0
"191",5.5,0.5,19,2005,"Summer","TrawlData","T",0
"192",6,0.5,3,2005,"Summer","TrawlData","T",0
"193",5.5,0.6,4,2005,"Summer","TrawlData","T",0
"194",6,0.6,3,2005,"Summer","TrawlData","T",0
"195",6.5,0.6,3,2005,"Summer","TrawlData","T",0
"196",6,0.7,2,2005,"Summer","TrawlData","T",0
"197",4,0.1,2,2006,"Summer","TrawlData","T",0
"198",4.5,0.1,1,2006,"Summer","TrawlData","T",0
"199",4.5,0.2,1,2006,"Summer","TrawlData","T",0
"200",5,0.2,1,2006,"Summer","TrawlData","T",0
"201",5,0.3,1,2006,"Summer","TrawlData","T",0
"202",5.5,0.3,1,2006,"Summer","TrawlData","T",0
"203",5.5,0.4,4,2006,"Summer","TrawlData","T",0
"204",6,0.4,3,2006,"Summer","TrawlData","T",0
"205",5.5,0.5,1,2006,"Summer","TrawlData","T",0
"206",6,0.5,4,2006,"Summer","TrawlData","T",0
"207",6.5,0.5,1,2006,"Summer","TrawlData","T",0
"208",6,0.7,1,2006,"Summer","TrawlData","T",0
"209",6.5,0.8,2,2006,"Summer","TrawlData","T",0
"210",4.5,0.2,1,2002,"Summer","DredgeDat","D",0
"211",5.5,0.3,2,2002,"Summer","DredgeDat","D",0
"212",6.5,0.6,2,2002,"Summer","DredgeDat","D",0
"213",6.5,0.7,2,2002,"Summer","DredgeDat","D",0
"214",7,0.8,2,2002,"Summer","DredgeDat","D",0
"215",7,0.9,1,2002,"Summer","DredgeDat","D",0
"216",4,0.1,2,2003,"Summer","DredgeDat","D",0
"217",4,0.2,3,2003,"Summer","DredgeDat","D",0
"218",4.5,0.2,54,2003,"Summer","DredgeDat","D",0
"219",4.5,0.3,53,2003,"Summer","DredgeDat","D",0
"220",5,0.3,123,2003,"Summer","DredgeDat","D",0
"221",5.5,0.3,14,2003,"Summer","DredgeDat","D",0
"222",5,0.4,25,2003,"Summer","DredgeDat","D",0
"223",5.5,0.4,92,2003,"Summer","DredgeDat","D",0
"224",6,0.4,7,2003,"Summer","DredgeDat","D",0
"225",5.5,0.5,64,2003,"Summer","DredgeDat","D",0
"226",6,0.5,15,2003,"Summer","DredgeDat","D",0
"227",6.5,0.5,1,2003,"Summer","DredgeDat","D",0
"228",6,0.6,38,2003,"Summer","DredgeDat","D",0
"229",6.5,0.6,8,2003,"Summer","DredgeDat","D",0
"230",6,0.7,14,2003,"Summer","DredgeDat","D",0
"231",6.5,0.7,30,2003,"Summer","DredgeDat","D",0
"232",6,0.8,9,2003,"Summer","DredgeDat","D",0
"233",6.5,0.8,31,2003,"Summer","DredgeDat","D",0
"234",7,0.8,13,2003,"Summer","DredgeDat","D",0
"235",7.5,0.8,1,2003,"Summer","DredgeDat","D",0
"236",6.5,0.9,7,2003,"Summer","DredgeDat","D",0
"237",7,0.9,14,2003,"Summer","DredgeDat","D",0
"238",7.5,0.9,2,2003,"Summer","DredgeDat","D",0
"239",6.5,1,3,2003,"Summer","DredgeDat","D",0
"240",7,1,7,2003,"Summer","DredgeDat","D",0
"241",7.5,1,2,2003,"Summer","DredgeDat","D",0
"242",7,1.1,2,2003,"Summer","DredgeDat","D",0
"243",7.5,1.1,7,2003,"Summer","DredgeDat","D",0
"244",7.5,1.2,4,2003,"Summer","DredgeDat","D",0
"245",7.5,1.3,1,2003,"Summer","DredgeDat","D",0
"246",8,1.3,2,2003,"Summer","DredgeDat","D",0
"247",8,1.4,2,2003,"Summer","DredgeDat","D",0
"248",8,1.6,2,2003,"Summer","DredgeDat","D",0
"249",5.5,0.3,1,2001,"Autumn","DredgeDat","D",0
"250",6,0.4,1,2001,"Autumn","DredgeDat","D",0
"251",6,0.5,2,2001,"Autumn","DredgeDat","D",0
"252",6.5,0.5,1,2001,"Autumn","DredgeDat","D",0
"253",6,0.6,2,2001,"Autumn","DredgeDat","D",0
"254",6.5,0.6,4,2001,"Autumn","DredgeDat","D",0
"255",7,0.6,5,2001,"Autumn","DredgeDat","D",0
"256",6,0.7,2,2001,"Autumn","DredgeDat","D",0
"257",6.5,0.7,3,2001,"Autumn","DredgeDat","D",0
"258",7,0.7,8,2001,"Autumn","DredgeDat","D",0
"259",6.5,0.8,2,2001,"Autumn","DredgeDat","D",0
"260",7,0.8,4,2001,"Autumn","DredgeDat","D",0
"261",7.5,0.8,2,2001,"Autumn","DredgeDat","D",0
"262",7,0.9,11,2001,"Autumn","DredgeDat","D",0
"263",7.5,0.9,16,2001,"Autumn","DredgeDat","D",0
"264",7,1,1,2001,"Autumn","DredgeDat","D",0
"265",7.5,1,10,2001,"Autumn","DredgeDat","D",0
"266",8,1,1,2001,"Autumn","DredgeDat","D",0
"267",7,1.1,1,2001,"Autumn","DredgeDat","D",0
"268",7.5,1.1,8,2001,"Autumn","DredgeDat","D",0
"269",8,1.1,2,2001,"Autumn","DredgeDat","D",0
"270",7.5,1.2,2,2001,"Autumn","DredgeDat","D",0
"271",8,1.2,4,2001,"Autumn","DredgeDat","D",0
"272",8,1.3,2,2001,"Autumn","DredgeDat","D",0
"273",8.5,1.3,1,2001,"Autumn","DredgeDat","D",0
"274",8,1.4,4,2001,"Autumn","DredgeDat","D",0
"275",8.5,1.4,1,2001,"Autumn","DredgeDat","D",0
"276",8,1.5,1,2001,"Autumn","DredgeDat","D",0
"277",8.5,1.7,2,2001,"Autumn","DredgeDat","D",0
"278",5.5,0.2,3,2002,"Autumn","DredgeDat","D",0
"279",5.5,0.3,7,2002,"Autumn","DredgeDat","D",0
"280",6,0.3,4,2002,"Autumn","DredgeDat","D",0
"281",5.5,0.4,2,2002,"Autumn","DredgeDat","D",0
"282",6,0.4,20,2002,"Autumn","DredgeDat","D",0
"283",6.5,0.4,4,2002,"Autumn","DredgeDat","D",0
"284",6,0.5,25,2002,"Autumn","DredgeDat","D",0
"285",6.5,0.5,22,2002,"Autumn","DredgeDat","D",0
"286",6,0.6,9,2002,"Autumn","DredgeDat","D",0
"287",6.5,0.6,48,2002,"Autumn","DredgeDat","D",0
"288",7,0.6,23,2002,"Autumn","DredgeDat","D",0
"289",6,0.7,2,2002,"Autumn","DredgeDat","D",0
"290",6.5,0.7,22,2002,"Autumn","DredgeDat","D",0
"291",7,0.7,33,2002,"Autumn","DredgeDat","D",0
"292",7.5,0.7,4,2002,"Autumn","DredgeDat","D",0
"293",6.5,0.8,6,2002,"Autumn","DredgeDat","D",0
"294",7,0.8,47,2002,"Autumn","DredgeDat","D",0
"295",7.5,0.8,19,2002,"Autumn","DredgeDat","D",0
"296",7,0.9,9,2002,"Autumn","DredgeDat","D",0
"297",7.5,0.9,22,2002,"Autumn","DredgeDat","D",0
"298",7,1,2,2002,"Autumn","DredgeDat","D",0
"299",7.5,1,22,2002,"Autumn","DredgeDat","D",0
"300",8,1,4,2002,"Autumn","DredgeDat","D",0
"301",7.5,1.1,7,2002,"Autumn","DredgeDat","D",0
"302",8,1.1,8,2002,"Autumn","DredgeDat","D",0
"303",7.5,1.2,6,2002,"Autumn","DredgeDat","D",0
"304",8,1.2,12,2002,"Autumn","DredgeDat","D",0
"305",8.5,1.2,1,2002,"Autumn","DredgeDat","D",0
"306",8,1.3,4,2002,"Autumn","DredgeDat","D",0
"307",8.5,1.3,4,2002,"Autumn","DredgeDat","D",0
"308",8,1.4,2,2002,"Autumn","DredgeDat","D",0
"309",8.5,1.4,5,2002,"Autumn","DredgeDat","D",0
"310",8.5,1.5,4,2002,"Autumn","DredgeDat","D",0
"311",8.5,1.6,2,2002,"Autumn","DredgeDat","D",0
"312",9,1.6,3,2002,"Autumn","DredgeDat","D",0
"313",8.5,1.7,1,2002,"Autumn","DredgeDat","D",0
"314",9,1.7,1,2002,"Autumn","DredgeDat","D",0
"315",9,1.8,3,2002,"Autumn","DredgeDat","D",0
"316",9,1.9,4,2002,"Autumn","DredgeDat","D",0
"317",9.5,1.9,1,2002,"Autumn","DredgeDat","D",0
"318",9,2,3,2002,"Autumn","DredgeDat","D",0
"319",9.5,2,4,2002,"Autumn","DredgeDat","D",0
"320",9,2.1,1,2002,"Autumn","DredgeDat","D",0
"321",9.5,2.1,4,2002,"Autumn","DredgeDat","D",0
"322",10,2.1,3,2002,"Autumn","DredgeDat","D",0
"323",9.5,2.2,6,2002,"Autumn","DredgeDat","D",0
"324",10,2.2,2,2002,"Autumn","DredgeDat","D",0
"325",9.5,2.3,4,2002,"Autumn","DredgeDat","D",0
"326",10,2.3,3,2002,"Autumn","DredgeDat","D",0
"327",9.5,2.4,1,2002,"Autumn","DredgeDat","D",0
"328",10,2.4,8,2002,"Autumn","DredgeDat","D",0
"329",9.5,2.5,1,2002,"Autumn","DredgeDat","D",0
"330",10,2.5,8,2002,"Autumn","DredgeDat","D",0
"331",10.5,2.5,2,2002,"Autumn","DredgeDat","D",0
"332",10,2.6,3,2002,"Autumn","DredgeDat","D",0
"333",10,2.7,3,2002,"Autumn","DredgeDat","D",0
"334",10,2.8,2,2002,"Autumn","DredgeDat","D",0
"335",10.5,2.8,8,2002,"Autumn","DredgeDat","D",0
"336",10.5,2.9,2,2002,"Autumn","DredgeDat","D",0
"337",10,3,2,2002,"Autumn","DredgeDat","D",0
"338",10.5,3,6,2002,"Autumn","DredgeDat","D",0
"339",11,3,2,2002,"Autumn","DredgeDat","D",0
"340",10.5,3.1,3,2002,"Autumn","DredgeDat","D",0
"341",11,3.2,2,2002,"Autumn","DredgeDat","D",0
"342",11,3.3,1,2002,"Autumn","DredgeDat","D",0
"343",11,3.4,1,2002,"Autumn","DredgeDat","D",0
"344",11,3.5,1,2002,"Autumn","DredgeDat","D",0
"345",11,3.7,1,2002,"Autumn","DredgeDat","D",0
"346",11.5,3.8,3,2002,"Autumn","DredgeDat","D",0
"347",5,0.3,1,2003,"Autumn","DredgeDat","D",0
"348",5.5,0.3,6,2003,"Autumn","DredgeDat","D",0
"349",6,0.3,3,2003,"Autumn","DredgeDat","D",0
"350",5,0.4,1,2003,"Autumn","DredgeDat","D",0
"351",6,0.4,6,2003,"Autumn","DredgeDat","D",0
"352",6,0.5,10,2003,"Autumn","DredgeDat","D",0
"353",6.5,0.5,16,2003,"Autumn","DredgeDat","D",0
"354",6,0.6,8,2003,"Autumn","DredgeDat","D",0
"355",6.5,0.6,31,2003,"Autumn","DredgeDat","D",0
"356",7,0.6,22,2003,"Autumn","DredgeDat","D",0
"357",6.5,0.7,9,2003,"Autumn","DredgeDat","D",0
"358",7,0.7,27,2003,"Autumn","DredgeDat","D",0
"359",7.5,0.7,2,2003,"Autumn","DredgeDat","D",0
"360",6.5,0.8,5,2003,"Autumn","DredgeDat","D",0
"361",7,0.8,51,2003,"Autumn","DredgeDat","D",0
"362",7.5,0.8,19,2003,"Autumn","DredgeDat","D",0
"363",7,0.9,11,2003,"Autumn","DredgeDat","D",0
"364",7.5,0.9,21,2003,"Autumn","DredgeDat","D",0
"365",8,0.9,6,2003,"Autumn","DredgeDat","D",0
"366",7.5,1,21,2003,"Autumn","DredgeDat","D",0
"367",8,1,4,2003,"Autumn","DredgeDat","D",0
"368",7.5,1.1,9,2003,"Autumn","DredgeDat","D",0
"369",8,1.1,14,2003,"Autumn","DredgeDat","D",0
"370",7.5,1.2,6,2003,"Autumn","DredgeDat","D",0
"371",8,1.2,14,2003,"Autumn","DredgeDat","D",0
"372",8.5,1.2,2,2003,"Autumn","DredgeDat","D",0
"373",7.5,1.3,2,2003,"Autumn","DredgeDat","D",0
"374",8,1.3,4,2003,"Autumn","DredgeDat","D",0
"375",8.5,1.3,13,2003,"Autumn","DredgeDat","D",0
"376",8,1.4,4,2003,"Autumn","DredgeDat","D",0
"377",8.5,1.4,7,2003,"Autumn","DredgeDat","D",0
"378",8,1.5,1,2003,"Autumn","DredgeDat","D",0
"379",8.5,1.5,9,2003,"Autumn","DredgeDat","D",0
"380",9,1.5,1,2003,"Autumn","DredgeDat","D",0
"381",8.5,1.6,13,2003,"Autumn","DredgeDat","D",0
"382",9,1.6,9,2003,"Autumn","DredgeDat","D",0
"383",8.5,1.7,2,2003,"Autumn","DredgeDat","D",0
"384",9,1.7,9,2003,"Autumn","DredgeDat","D",0
"385",9,1.8,8,2003,"Autumn","DredgeDat","D",0
"386",9.5,1.8,9,2003,"Autumn","DredgeDat","D",0
"387",8.5,1.9,2,2003,"Autumn","DredgeDat","D",0
"388",9,1.9,5,2003,"Autumn","DredgeDat","D",0
"389",9.5,1.9,2,2003,"Autumn","DredgeDat","D",0
"390",9,2,4,2003,"Autumn","DredgeDat","D",0
"391",9.5,2,11,2003,"Autumn","DredgeDat","D",0
"392",9.5,2.1,11,2003,"Autumn","DredgeDat","D",0
"393",9.5,2.2,9,2003,"Autumn","DredgeDat","D",0
"394",10,2.2,8,2003,"Autumn","DredgeDat","D",0
"395",9.5,2.3,11,2003,"Autumn","DredgeDat","D",0
"396",10,2.3,17,2003,"Autumn","DredgeDat","D",0
"397",10,2.4,17,2003,"Autumn","DredgeDat","D",0
"398",9.5,2.5,2,2003,"Autumn","DredgeDat","D",0
"399",10,2.5,11,2003,"Autumn","DredgeDat","D",0
"400",10.5,2.5,9,2003,"Autumn","DredgeDat","D",0
"401",9.5,2.6,2,2003,"Autumn","DredgeDat","D",0
"402",10,2.6,19,2003,"Autumn","DredgeDat","D",0
"403",10.5,2.6,3,2003,"Autumn","DredgeDat","D",0
"404",11,2.6,3,2003,"Autumn","DredgeDat","D",0
"405",10,2.7,6,2003,"Autumn","DredgeDat","D",0
"406",10.5,2.7,9,2003,"Autumn","DredgeDat","D",0
"407",10,2.8,11,2003,"Autumn","DredgeDat","D",0
"408",10.5,2.8,6,2003,"Autumn","DredgeDat","D",0
"409",10.5,2.9,15,2003,"Autumn","DredgeDat","D",0
"410",11,2.9,3,2003,"Autumn","DredgeDat","D",0
"411",10,3,3,2003,"Autumn","DredgeDat","D",0
"412",10.5,3,12,2003,"Autumn","DredgeDat","D",0
"413",11,3,8,2003,"Autumn","DredgeDat","D",0
"414",10.5,3.1,6,2003,"Autumn","DredgeDat","D",0
"415",11,3.1,5,2003,"Autumn","DredgeDat","D",0
"416",10.5,3.2,6,2003,"Autumn","DredgeDat","D",0
"417",11,3.2,3,2003,"Autumn","DredgeDat","D",0
"418",10.5,3.3,3,2003,"Autumn","DredgeDat","D",0
"419",11,3.3,3,2003,"Autumn","DredgeDat","D",0
"420",11,3.8,3,2003,"Autumn","DredgeDat","D",0
"421",11.5,3.9,10,2003,"Autumn","DredgeDat","D",0
"422",12,4.3,3,2003,"Autumn","DredgeDat","D",0
"423",5.5,0.3,1,2004,"Autumn","DredgeDat","D",0
"424",5.5,0.4,4,2004,"Autumn","DredgeDat","D",0
"425",6,0.4,3,2004,"Autumn","DredgeDat","D",0
"426",6.5,0.4,2,2004,"Autumn","DredgeDat","D",0
"427",5.5,0.5,1,2004,"Autumn","DredgeDat","D",0
"428",6,0.5,1,2004,"Autumn","DredgeDat","D",0
"429",6.5,0.5,1,2004,"Autumn","DredgeDat","D",0
"430",6,0.6,2,2004,"Autumn","DredgeDat","D",0
"431",6.5,0.6,4,2004,"Autumn","DredgeDat","D",0
"432",7,0.6,1,2004,"Autumn","DredgeDat","D",0
"433",6.5,0.7,2,2004,"Autumn","DredgeDat","D",0
"434",6.5,0.8,1,2004,"Autumn","DredgeDat","D",0
"435",7,0.8,4,2004,"Autumn","DredgeDat","D",0
"436",7.5,0.8,1,2004,"Autumn","DredgeDat","D",0
"437",7,0.9,1,2004,"Autumn","DredgeDat","D",0
"438",7.5,0.9,1,2004,"Autumn","DredgeDat","D",0
"439",8,1,1,2004,"Autumn","DredgeDat","D",0
"440",8,1.2,1,2004,"Autumn","DredgeDat","D",0
"441",9,1.8,1,2004,"Autumn","DredgeDat","D",0
"442",8.5,1.9,1,2004,"Autumn","DredgeDat","D",0
"443",4.5,0.1,4,2004,"Autumn","GrabDat","G",0
"444",4.5,0.3,3,2004,"Autumn","GrabDat","G",0
"445",5.5,0.3,4,2004,"Autumn","GrabDat","G",0
"446",5,0.4,5,2004,"Autumn","GrabDat","G",0
"447",5.5,0.4,16,2004,"Autumn","GrabDat","G",0
"448",6,0.4,5,2004,"Autumn","GrabDat","G",0
"449",5.5,0.5,3,2004,"Autumn","GrabDat","G",0
"450",6,0.5,6,2004,"Autumn","GrabDat","G",0
